siteID,depNO2,siteID_INT,p_XCOORD,p_YCOORD,pA_landuseArea_HDres_100_sum,pA_landuseArea_HDres_300_sum,pA_landuseArea_HDres_500_sum,pA_landuseArea_HDres_1000_sum,pA_landuseArea_HDres_5000_sum,pA_landuseArea_Industry_1000_sum,pA_landuseArea_Industry_5000_sum,pA_landuseArea_LDres_300_sum,pA_landuseArea_LDres_500_sum,pA_landuseArea_LDres_1000_sum,pA_landuseArea_LDres_5000_sum,pA_landuseArea_Natural_5000_sum,pA_landuseArea_UrbGreen_1000_sum,pA_landuseArea_UrbGreen_5000_sum,pA_landuseArea_Industry_500_sum,pA_landuseArea_LDres_100_sum,pA_landuseArea_Natural_500_sum,pA_landuseArea_Natural_1000_sum,pA_landuseArea_UrbGreen_500_sum,pA_landuseArea_UrbGreen_300_sum,pA_landuseArea_Industry_100_sum,pA_landuseArea_Industry_300_sum,pA_landuseArea_UrbGreen_100_sum,pA_landuseArea_Natural_300_sum,pA_landuseArea_Port_5000_sum,pA_landuseArea_Natural_100_sum,pA_landuseArea_Port_300_sum,pA_landuseArea_Port_500_sum,pA_landuseArea_Port_1000_sum,pA_EmissionAreaWt_All_100_wtv,pA_EmissionAreaWt_All_300_wtv,pA_EmissionAreaWt_All_500_wtv,pA_EmissionAreaWt_All_1000_wtv,pA_EmissionAreaWt_All_5000_wtv,pB_rdLength_major_25_sum,pB_rdLength_major_50_sum,pB_rdLength_major_100_sum,pB_rdLength_major_300_sum,pB_rdLength_major_500_sum,pB_rdLength_major_1000_sum,pB_rdLength_minor_25_sum,pB_rdLength_minor_50_sum,pB_rdLength_minor_100_sum,pB_rdLength_minor_300_sum,pB_rdLength_minor_500_sum,pB_rdLength_minor_1000_sum,pC_EmissionPoint_Misc_5000_sum,pC_EmissionPoint_Waste_5000_sum,pC_EmissionPoint_Misc_500_sum,pC_EmissionPoint_Misc_1000_sum,pC_EmissionPoint_Misc_300_sum,pC_EmissionPoint_Misc_100_sum,pC_EmissionPoint_Power_5000_sum,pC_EmissionPoint_Waste_1000_sum,pC_EmissionPoint_Waste_500_sum,pC_EmissionPoint_Chemical_5000_sum,pC_EmissionPoint_Waste_300_sum,pD_EmissionAreaVal_NOxEmission_val,pE_majorRdDist_none_dist,pE_majorRdDist_none_invd,pE_majorRdDist_none_invsq,pF_EmPoint_Emission_valinvd,pF_EmPoint_Emission_valinvsq,pG_EmAreaRaster_raster_val
BO48,26.5,11,375396.84240000043,407455.71050000004,0.0,0.0,0.0,0.0,1973236.0399385495,0.0,4735739.711815893,282742.08370308887,773718.2891069511,2218250.9642893,34734732.16170837,4402758.8813949805,583732.581913657,13119668.654851418,0.0,31415.509573528798,0.0,0.0,11677.77776028189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6695944085264984,15.026482407440888,39.96252732254021,111.49964595216248,5363.879489313024,54.850852302385576,134.436555214536,287.94698031744326,929.5569339273372,1957.7501194847396,4322.922968856466,40.595077393954384,153.21435059217242,580.0363976354311,5453.040344474285,14534.320583964969,36410.02703091087,0.17551840999999999,0.58437866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.286386489868164,12.95727988998877,0.0771766920596223,0.0059562417972657666,3.5742982380993307e-06,2.2757099155453394e-09,13.286386489868164
BO53,20.2,12,373235.87210000027,411966.6906000003,0.0,0.0,0.0,0.0,1957835.5276287138,1413.456733729362,2929510.8021248663,201016.93745224932,542588.6934549486,1976416.5988597705,28145868.961406987,4921714.21505726,1163758.4054661186,8527649.73038217,0.0,24641.27370108968,0.0,0.0,242807.37339620563,81725.14634354196,0.0,0.0,6774.235848887323,0.0,0.0,0.0,0.0,0.0,0.0,0.9640891135121752,9.861028647052468,28.71976961362169,118.92170046297116,3431.556641998971,16.92466206863712,150.0854757666413,316.0154503199976,928.4705395991213,1637.2753204250755,5172.060491165031,89.68333877577072,233.63971199498897,496.2145653653591,2863.50322843004,6656.797750552634,30708.187432675728,0.01035635,0.37990937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.805746555328369,22.20429826826296,0.045036325305957525,0.00202827059706403,4.512166413829017e-06,1.9659093933757177e-09,5.805746555328369
BO54,13.4,13,372907.86369999964,412118.66300000064,0.0,0.0,0.0,0.0,1964003.0438679578,35638.089699711294,2929510.8021248663,222302.47518330466,506783.5739348428,1943035.138684832,27071015.936895225,6609849.111421362,1162915.2328163784,8095392.674836036,0.0,31415.509573549112,0.0,0.0,278612.4928376759,60439.60849474102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9049629287222706,10.639326718969008,30.218935634605835,123.49286011721676,3326.830049493081,0.0,0.0,0.0,262.60558575295136,1304.6737296043636,5042.500056071498,45.9484090156268,134.6857523542606,282.6897251620213,2802.8868983119705,7204.54627317953,30131.23643383095,0.01035635,0.37990937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.135348320007324,263.21454212347084,0.0037991821877793965,1.4433785295940242e-05,4.454261746708285e-06,1.9157760898568265e-09,7.135348320007324
BO60,36.9,14,373286.85250000004,405059.6961000003,0.0,0.0,0.0,0.0,1819741.240707615,662141.4778160228,3845795.027927194,244036.2740768426,547450.4663444526,2214842.8293299256,36502549.521418124,3215412.3632317223,144454.67671373422,12074334.303059136,237945.6004847003,31415.509573550942,0.0,0.0,0.0,0.0,0.0,38705.809553083214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9184658439237467,35.36710225838985,92.56079616432945,342.93900382851155,5899.837572481342,49.27670462337811,99.95619960237623,200.90216186311588,781.8249528931113,3771.161865453659,12249.32820186779,28.56815903870973,151.15204641192605,700.1058865998841,5537.745670351133,15278.163290245275,48861.69499646321,0.17551840999999999,0.58437866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.07744026184082,4.380887566002487,0.22826424667010783,0.05210456630787183,8.06658504898756e-05,4.078379490716135e-08,31.07744026184082
BO61,38.3,15,374449.8507000003,405205.65970000066,0.0,0.0,0.0,0.0,1249300.1705170616,628526.0748006166,3797181.6414242294,193876.64396910748,570406.7535777895,2046420.0693546168,37019499.64962215,4125152.4135568896,300680.5118595853,13013066.218679242,210535.50680902117,23643.414630503234,0.0,0.0,4453.806487782379,0.0,7772.0949191431955,88865.4398188209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.716364038086054,32.97096255554943,89.76890369371951,324.2139009190088,5920.69492848335,84.40831105135285,370.3231528750961,891.7197394284863,3506.9054867367463,5862.601517381782,14667.818826670682,11.935787341296967,37.466308571087566,213.6493739811491,3427.6139509753643,11774.794625980983,48211.77352674691,0.16516206,0.58437866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.574277877807617,2.9542641097364544,0.3384937713267649,0.11457803322701618,1.1479474840736146e-05,5.0120336195794375e-09,29.574277877807617
BO63,24.0,16,374281.8457000004,406255.64240000024,0.0,0.0,0.0,0.0,1973236.0399385495,0.0,4449453.176110447,165344.9997801923,397546.7951583621,1677478.4889766504,36464470.32206989,3382079.1852458343,1272933.5205785485,12227298.571664533,0.0,22557.141662934177,0.0,0.0,385742.12015804206,117397.08396457799,0.0,0.0,8858.36791635918,0.0,0.0,0.0,0.0,0.0,0.0,1.3906065533733694,13.435923167260745,55.90226530136836,263.6910554694403,5778.539754950516,0.0,0.0,298.2292450600294,1231.5506398782027,2628.6194705570833,11983.622977269275,104.69700440316178,284.995844655848,742.0685594705391,4908.662584699263,13137.778576249582,38888.93157330588,0.17551840999999999,0.58437866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.066242218017578,65.80722673790669,0.01519589944099519,0.00023091535982083794,0.00019633382160867306,1.014635925075137e-07,11.066242218017578
BO64,27.8,17,371964.85479999986,409905.70749999955,0.0,7766.247425477614,130856.89217497,769013.4756161941,1973236.0399385495,1189296.633997678,3204912.743126886,0.0,34556.74544613257,1181130.5801283899,37399768.28618392,2260112.8204922155,2147.771587760848,11637026.259049132,619982.4292550291,0.0,0.0,0.0,0.0,0.0,31415.509573576608,274975.83623899776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.433722091099536,52.4500554584406,141.43688369812094,549.8519177171784,4557.740363081004,38.07653878789239,94.35337890097983,217.67748831619383,3113.044892038239,7816.726849579682,18511.149629070642,87.59155611877307,323.06799281346804,1057.168694218772,5771.458274294709,14579.629173035595,59122.54405606332,0.16990451,0.55808627,0.01035635,0.01035635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.901729583740234,16.136003320050385,0.06197321481444003,0.003840679354436729,3.275336006598121e-05,1.0358693899026321e-07,51.901729583740234
BO65,27.9,18,372058.8173000002,409875.6634999998,0.0,0.0,93598.5651598071,734178.9236195988,1973236.0399385495,1178762.6731262344,3204912.743126886,0.39338975535974546,54566.29008192755,1209229.5456445827,37546950.01813823,2101987.1000915975,19417.318858382412,11658329.976337627,637231.2115836536,0.0,0.0,0.0,0.0,0.0,31415.509573555282,282741.6902669359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29044523361368,52.447921584350645,141.27475490300677,546.3945793446558,4573.8313907257125,0.0,66.66145026496989,187.0711175997678,3140.240237514961,7166.466639669152,19090.386552389333,48.8330638250468,128.8568339465604,749.4122946363958,5094.809761643778,14209.357808195433,58363.17045834475,0.16990451,0.55808627,0.01035635,0.01035635,0.01035635,0.0,0.0,0.0,0.0,0.0,0.0,49.73714065551758,37.70986697212823,0.02651825849025431,0.0007032180333559447,4.6813607552599634e-05,2.1161064005067554e-07,49.73714065551758
BO66,38.6,19,371441.8189000003,411597.66039999947,0.0,0.0,0.0,0.0,1973236.0399385495,284502.22859322623,2961041.0422752406,282742.083703177,767667.9809334866,2590907.5941849644,29909524.945041616,10137182.584449569,261899.85038738349,8872496.18127589,0.0,31415.509573572206,0.0,4278.787840749075,17728.085876433946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5638513926318285,23.074866374524525,62.40480534210398,227.71807290150517,3574.773360462715,68.48952588323301,150.44096169430762,546.4967123954307,2187.7016545391525,3554.3792805232147,7520.088239322332,42.766819259089736,191.2207229826488,910.3720323212656,7774.614457458169,18101.772227647718,59454.384030082336,0.01035635,0.37990937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.402751922607422,8.858436943228623,0.11288673232182328,0.01274341433429898,5.418605605324464e-06,2.835099886161987e-09,20.402751922607422
BO67,21.2,20,365162.9979999997,405638.62930000015,0.0,0.0,0.0,0.0,0.0,55246.87979915102,3599006.5506065004,282742.0837031524,732169.8071368363,2450784.2557718367,26195822.25865101,5296600.628582705,125713.55566768539,3956486.701009514,0.0,31415.509573536776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.459122881650471,24.654289348884937,71.84961392893985,256.44263306974864,3671.506922394229,0.0,75.77364018256023,191.89715816738038,1208.8157916227512,3105.4943326671664,8756.59501639594,33.73028830680834,133.99332978663642,390.68229790553085,5195.9503138083055,12534.385853648764,38730.578780655684,0.0502812,0.008460450000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.569337844848633,32.79038846808486,0.030496741475731757,0.0009300512406376177,1.4163118643005407e-05,3.989441972264929e-09,19.569337844848633
